emp_no;dept_no;from_date;to_date
13070;d005;1989-10-20;9999-01-01
13080;d004;1994-11-16;9999-01-01
13090;d005;1991-05-22;9999-01-01
13100;d004;1991-01-22;9999-01-01
13110;d005;1989-07-16;9999-01-01
13120;d008;1992-11-03;9999-01-01
13130;d004;1987-11-28;1989-01-10
13140;d008;1999-05-30;9999-01-01
13150;d004;1991-06-15;1998-01-03
13150;d006;1998-01-03;9999-01-01
13160;d005;2000-04-10;9999-01-01
13160;d006;1999-05-20;2000-04-10
13170;d002;1993-01-09;1998-09-21
13170;d003;1998-09-21;9999-01-01
13180;d008;1992-05-04;9999-01-01
13190;d003;1986-07-17;9999-01-01
13200;d004;1991-08-07;9999-01-01
13210;d001;1997-08-10;9999-01-01
13210;d007;1997-07-27;1997-08-10
13220;d005;1999-05-09;2001-01-10
13230;d005;1993-03-24;9999-01-01
13240;d005;1994-03-10;9999-01-01
13250;d004;1988-10-28;9999-01-01
13260;d005;1997-02-08;9999-01-01
13270;d005;1999-01-16;9999-01-01
13280;d009;1985-03-30;9999-01-01
13290;d003;1995-12-24;9999-01-01
13300;d001;1987-06-17;9999-01-01
13310;d005;1995-09-08;9999-01-01
13320;d005;1993-04-10;9999-01-01
13330;d004;1993-08-19;9999-01-01
13340;d005;1990-08-15;9999-01-01
13350;d005;1997-09-24;2001-12-20
13360;d005;1999-02-23;9999-01-01
13370;d009;1990-06-23;9999-01-01
13380;d003;1989-01-08;9999-01-01
13390;d004;1999-01-10;9999-01-01
13400;d005;1995-05-31;9999-01-01
13410;d007;1989-01-19;9999-01-01
13420;d004;1996-02-16;9999-01-01
13430;d003;1989-06-18;1990-04-17
13440;d004;1989-03-03;9999-01-01
13450;d004;1986-03-15;1999-05-06
13450;d009;1999-05-06;9999-01-01
13460;d004;1993-05-09;9999-01-01
13470;d001;1993-09-09;2002-02-23
13480;d004;1993-06-18;1995-03-16
13480;d006;1995-03-16;9999-01-01
13490;d001;1992-07-31;1994-04-12
13500;d004;1994-04-21;9999-01-01
13500;d005;1991-11-07;1994-04-21
13510;d002;1991-12-25;1992-04-28
13510;d003;1992-04-28;9999-01-01
13520;d004;1995-11-03;9999-01-01
13530;d005;1993-05-26;1993-08-27
13540;d007;1999-09-16;9999-01-01
13550;d005;1992-04-15;1998-02-25
13560;d005;1986-07-28;1998-03-12
13570;d002;1986-03-15;9999-01-01
13580;d005;1993-12-22;1998-04-29
13590;d004;1986-03-14;9999-01-01
13600;d008;1997-09-02;9999-01-01
13610;d009;1995-05-28;9999-01-01
13620;d004;1985-06-12;9999-01-01
13630;d004;1990-05-06;1996-04-03
13640;d006;1987-09-20;9999-01-01
13650;d007;1996-11-19;9999-01-01
13660;d007;1998-02-18;2002-04-28
13670;d005;1988-06-30;9999-01-01
13680;d007;1996-02-05;9999-01-01
13690;d007;1989-10-23;9999-01-01
13700;d007;1998-12-11;9999-01-01
13710;d005;1998-04-30;9999-01-01
13720;d007;1989-03-01;9999-01-01
13730;d001;1991-07-20;9999-01-01
13740;d005;1996-11-11;9999-01-01
13750;d004;1995-08-22;9999-01-01
13760;d004;1994-07-05;1997-02-09
13770;d007;1990-04-26;9999-01-01
13780;d005;1994-10-07;1999-02-04
13790;d007;1987-07-07;1990-10-07
13800;d006;1998-03-25;9999-01-01
13810;d008;1998-12-06;1999-03-07
13820;d003;1990-08-07;9999-01-01
13830;d002;1989-09-10;9999-01-01
13840;d005;1998-12-12;1999-12-30
13850;d004;1996-10-10;2001-06-04
13850;d006;2001-06-04;9999-01-01
13860;d001;1988-07-27;9999-01-01
13870;d004;2002-05-30;9999-01-01
13870;d006;1997-02-17;2002-05-30
13880;d002;1999-12-20;9999-01-01
13880;d003;1985-12-24;1999-12-20
13890;d003;1985-11-30;9999-01-01
13900;d005;1999-08-14;9999-01-01
13910;d005;1995-07-16;9999-01-01
13920;d008;1987-11-19;9999-01-01
13930;d007;1985-11-26;2000-04-20
13940;d005;1999-03-31;1999-04-30
13940;d009;1999-03-30;1999-03-31
13950;d004;1990-05-09;1996-06-21
13950;d006;1996-06-21;9999-01-01
13960;d002;1996-04-06;9999-01-01
13970;d004;1990-10-07;9999-01-01
13980;d009;1994-07-09;9999-01-01
13990;d005;1988-06-10;9999-01-01
14000;d007;1993-08-20;9999-01-01
14010;d003;1990-03-08;9999-01-01
14020;d008;1995-10-31;9999-01-01
14030;d004;1991-07-17;9999-01-01
14040;d005;1987-08-20;9999-01-01
14050;d007;1995-10-30;9999-01-01
14060;d004;1992-09-07;9999-01-01
14070;d008;1989-02-22;9999-01-01
14080;d004;1987-12-02;1992-07-23
14080;d006;1992-07-23;1998-06-09
14090;d004;1993-04-10;9999-01-01
14090;d008;1987-06-18;1993-04-10
14100;d005;1991-08-26;1997-11-23
14110;d001;1987-05-17;9999-01-01
14120;d004;1985-08-11;9999-01-01
14130;d001;1997-02-17;9999-01-01
14140;d002;1998-03-21;1998-07-25
14140;d003;1998-07-25;9999-01-01
14150;d003;1994-01-28;9999-01-01
14160;d007;1998-12-24;9999-01-01
14170;d001;1998-09-13;1999-04-22
14170;d009;1999-04-22;2001-04-16
14180;d005;1993-03-15;9999-01-01
14190;d004;1989-03-13;9999-01-01
14200;d001;1998-02-15;9999-01-01
14200;d007;1997-11-10;1998-02-15
14210;d001;1993-06-10;9999-01-01
14220;d004;1987-12-02;9999-01-01
14230;d005;1988-01-25;9999-01-01
14240;d008;1987-11-28;9999-01-01
14250;d009;1996-06-16;2000-12-20
14260;d003;1991-04-21;9999-01-01
14270;d004;1994-04-05;9999-01-01
14280;d001;1999-09-21;9999-01-01
14290;d004;1992-03-29;9999-01-01
14300;d001;1995-09-15;2001-02-15
14310;d007;1987-02-23;9999-01-01
14320;d004;1986-06-30;9999-01-01
14330;d005;1991-07-03;9999-01-01
14340;d004;1986-12-19;9999-01-01
14350;d002;1988-03-20;1989-07-29
14360;d008;1997-08-01;9999-01-01
14370;d003;1995-03-01;9999-01-01
14380;d005;1990-01-27;1997-01-20
14380;d009;1988-01-30;1990-01-27
14390;d004;2001-06-08;9999-01-01
14390;d006;1998-11-27;2001-06-08
14400;d004;1997-08-12;9999-01-01
14400;d005;1994-04-15;1997-08-12
14410;d004;1990-02-22;1992-03-07
14410;d009;1992-03-07;9999-01-01
14420;d004;1999-07-12;9999-01-01
14430;d002;1996-06-08;9999-01-01
14440;d005;1997-09-03;9999-01-01
14450;d005;1985-04-26;1996-12-30
14460;d004;1988-01-23;9999-01-01
14470;d004;1997-11-26;9999-01-01
14480;d007;1987-03-24;9999-01-01
14490;d009;1994-09-27;9999-01-01
14500;d004;1989-07-15;9999-01-01
14510;d004;1996-08-24;9999-01-01
14520;d004;1992-09-09;1998-07-09
14530;d004;1999-02-02;9999-01-01
14540;d005;1990-02-11;9999-01-01
14550;d001;1999-07-24;9999-01-01
14550;d007;1998-08-20;1999-07-24
14560;d005;1985-05-21;9999-01-01
14570;d001;1994-11-17;9999-01-01
14580;d005;1988-11-09;9999-01-01
14590;d002;1985-05-14;1995-12-28
14600;d009;1988-10-24;9999-01-01
14610;d007;1989-11-10;9999-01-01
14620;d004;1988-08-04;9999-01-01
14630;d005;1993-07-25;9999-01-01
14640;d005;1992-05-20;9999-01-01
14650;d006;1986-10-04;9999-01-01
14660;d001;1995-07-21;9999-01-01
14670;d006;1995-08-24;9999-01-01
14680;d001;1990-08-04;1995-12-24
14690;d005;1986-02-25;9999-01-01
14700;d003;1992-02-28;1998-08-31
14710;d001;1988-09-18;9999-01-01
14720;d006;1993-11-19;9999-01-01
14730;d003;1998-03-25;9999-01-01
14740;d004;1985-12-26;2000-05-31
14750;d005;1998-08-17;9999-01-01
14760;d004;1996-03-09;9999-01-01
14770;d005;1996-09-15;1999-11-16
14780;d004;1986-09-19;9999-01-01
14790;d004;1994-04-24;2001-07-28
14800;d004;1992-09-14;9999-01-01
14810;d005;1992-01-24;9999-01-01
14820;d001;1991-09-10;9999-01-01
14830;d007;1996-05-31;2001-01-12
14840;d004;1995-07-06;1999-04-09
14850;d002;2000-01-08;9999-01-01
14860;d006;1989-04-27;9999-01-01
14870;d005;1992-12-26;9999-01-01
14880;d005;1998-01-30;2000-05-23
14890;d005;1999-10-31;2000-11-25
14900;d005;1993-06-21;9999-01-01
14910;d004;1998-09-23;9999-01-01
14920;d009;1993-09-18;9999-01-01
14930;d005;1995-10-14;9999-01-01
14940;d005;1990-08-09;9999-01-01
14950;d004;1998-01-15;9999-01-01
14960;d004;1991-07-17;9999-01-01
14970;d009;1999-01-20;9999-01-01
14980;d004;1985-04-04;1988-05-13
14990;d007;1995-11-25;9999-01-01
15000;d007;1992-07-20;9999-01-01
15010;d005;1990-10-10;1992-08-04
15020;d004;1988-03-07;1992-07-31
15030;d007;1999-04-11;9999-01-01
15040;d002;1996-11-11;2001-03-19
15050;d004;1990-12-17;9999-01-01
15060;d005;1990-03-12;9999-01-01
15070;d009;1995-08-28;2000-07-16
15080;d004;1997-02-12;9999-01-01
15090;d005;1986-08-31;9999-01-01
15100;d007;1998-07-26;9999-01-01
15110;d007;1998-11-11;9999-01-01
15120;d007;1991-09-26;9999-01-01
15130;d007;1986-06-24;9999-01-01
15140;d003;1991-07-04;9999-01-01
15150;d005;1996-03-21;9999-01-01
15160;d004;1995-06-20;1995-12-26
15160;d006;1995-12-26;9999-01-01
15170;d001;1992-04-15;1992-07-10
15170;d007;1992-07-10;9999-01-01
15180;d006;1995-01-25;1996-06-08
15190;d003;1994-10-15;9999-01-01
15200;d004;1998-06-09;2000-03-19
15210;d007;1997-11-19;9999-01-01
15220;d004;1995-07-23;9999-01-01
15230;d005;1993-03-17;9999-01-01
15240;d005;1993-08-01;9999-01-01
15250;d004;1992-10-28;9999-01-01
15260;d005;1989-03-15;1995-08-31
15270;d009;1994-05-09;9999-01-01
15280;d005;1986-03-26;9999-01-01
15290;d004;1998-08-27;9999-01-01
15300;d004;1994-09-22;9999-01-01
15310;d001;1997-11-09;9999-01-01
15320;d008;1993-03-26;1995-01-14
15330;d007;1988-05-30;9999-01-01
15340;d006;1993-01-28;9999-01-01
15350;d001;1990-03-23;1990-11-28
15360;d001;1998-02-04;9999-01-01
15360;d007;1997-10-26;1998-02-04
15370;d005;1993-12-21;1997-11-15
15370;d008;1997-11-15;9999-01-01
15380;d005;1987-06-12;1990-03-05
15380;d008;1990-03-05;1994-05-14
15390;d005;1999-01-16;9999-01-01
15400;d005;1995-08-07;9999-01-01
15400;d009;1995-03-10;1995-08-07
15410;d001;2002-04-15;9999-01-01
15410;d007;1989-09-13;2002-04-15
15420;d005;1997-08-09;9999-01-01
15420;d009;1990-04-17;1997-08-09
15430;d005;1996-07-22;9999-01-01
15440;d002;1997-06-08;1998-09-13
15450;d005;1999-06-14;2000-04-17
15460;d005;1988-01-25;9999-01-01
15470;d004;1996-08-08;9999-01-01
15480;d005;1990-04-29;9999-01-01
15490;d006;1992-11-09;9999-01-01
15500;d005;1997-10-29;9999-01-01
15510;d005;1987-08-29;9999-01-01
15520;d004;1988-01-28;9999-01-01
15530;d004;1995-07-09;9999-01-01
15540;d005;1988-12-01;9999-01-01
15550;d004;1993-07-01;9999-01-01
15560;d005;1991-01-30;2001-02-17
15570;d005;1986-06-18;9999-01-01
15580;d001;1986-06-07;9999-01-01
15590;d007;1986-09-26;1999-01-07
15600;d004;1985-04-26;9999-01-01
15610;d006;1999-12-30;2001-11-25
15620;d007;1987-02-14;9999-01-01
15630;d005;1999-03-28;1999-05-25
15640;d004;1990-10-16;2000-03-26
15650;d004;1997-11-16;9999-01-01
15660;d005;1996-12-27;9999-01-01
15670;d004;1997-03-01;9999-01-01
15680;d007;1990-04-19;1990-06-25
15680;d009;1990-06-25;9999-01-01
15690;d002;1996-05-09;1998-05-13
15700;d003;1993-09-03;1994-10-13
15710;d004;1992-02-26;9999-01-01
15720;d004;1993-05-24;9999-01-01
15730;d009;1991-07-14;9999-01-01
15740;d007;1995-06-04;9999-01-01
15750;d004;1993-11-13;9999-01-01
15760;d007;1999-04-11;9999-01-01
15770;d004;1995-02-25;1998-05-23
15780;d004;1990-03-05;9999-01-01
15780;d005;1987-04-02;1990-03-05
15790;d007;1997-12-19;9999-01-01
15800;d004;1986-01-07;9999-01-01
15810;d004;1997-03-07;9999-01-01
15810;d005;1986-08-26;1997-03-07
15820;d005;1998-07-18;9999-01-01
15830;d002;1997-03-13;9999-01-01
15840;d007;1997-05-07;9999-01-01
15850;d004;1996-03-05;2001-07-25
15860;d005;1985-04-06;2002-06-11
15870;d008;1992-02-25;9999-01-01
15880;d004;1996-12-02;9999-01-01
15890;d003;1996-11-21;9999-01-01
15900;d002;1998-06-08;1999-02-02
15910;d009;1996-11-29;9999-01-01
15920;d005;1988-10-04;1993-03-26
15930;d004;1993-09-24;9999-01-01
15940;d004;1999-08-30;9999-01-01
15950;d009;1993-08-16;9999-01-01
15960;d005;1991-04-24;9999-01-01
15970;d005;1995-07-13;1998-10-14
15970;d006;1994-06-15;1995-07-13
15980;d007;1992-10-21;9999-01-01
15990;d004;1988-09-15;1997-04-26
16000;d004;1996-05-05;9999-01-01
16010;d005;1987-08-28;1990-01-16
16010;d008;1990-01-16;9999-01-01
16020;d001;1990-01-04;9999-01-01
16030;d001;1997-03-29;9999-01-01
16040;d004;1987-07-17;9999-01-01
16050;d001;1996-02-03;1999-12-14
16050;d009;1999-12-14;2001-08-30
16060;d008;1993-11-11;9999-01-01
16070;d004;2002-02-10;9999-01-01
16070;d005;1995-10-14;2002-02-10
16080;d005;1992-08-07;9999-01-01
16090;d008;1992-06-22;1999-01-17
16100;d002;1986-03-31;9999-01-01
16110;d005;1992-08-04;9999-01-01
16120;d001;1996-03-02;9999-01-01
16130;d005;1993-07-26;9999-01-01
16140;d002;1993-03-04;9999-01-01
16150;d007;1993-01-07;9999-01-01
16160;d008;1994-11-16;9999-01-01
16170;d007;1992-04-10;9999-01-01
16180;d004;1998-10-02;9999-01-01
16190;d005;1986-08-13;9999-01-01
16200;d003;1999-05-22;2000-03-22
16210;d008;1991-01-18;9999-01-01
16220;d009;1995-01-01;9999-01-01
16230;d004;1996-05-25;9999-01-01
16230;d009;1996-02-19;1996-05-25
16240;d004;1994-11-17;9999-01-01
16240;d005;1987-02-28;1994-11-17
16250;d005;1998-10-02;1999-04-26
16250;d008;1999-04-26;9999-01-01
16260;d004;1993-02-21;9999-01-01
16270;d009;1992-07-04;9999-01-01
16280;d005;1993-05-03;2000-03-11
